application_id,applicant_name,applicant_age,gender,monthly_income,loan_amount_requested,loan_purpose,employment_type,credit_score,existing_loans_count,loan_tenure_months,interest_rate_pct,bank_name,application_date,approval_status,default_status,city
LN671866,Applicant Mehta,38,F,217069,2127000,Car Loan,Government Employee,626,2,12,13.67,IDFC First Bank,6/1/2021,Rejected,Yes,Bengaluru
LN572882,Applicant Reddy,45,F,18440,175000,Car Loan,Business Owner,888,,12,11.41,Bank of Baroda,1/6/2021,Approved,No,pune
LN835289,Applicant Verma,58,F,202775,1578000,Car Loan,Self Employed,881,0,24,22.45,SBI,7/1/2021,Approved,No,Lucknow
LN118735,Applicant Patel,45,F,332164,3433000,personal loan,freelancer,556,4,48,22.12,HDFC Bank,7/1/2021,Approved,No,Chennai
LN250501,Applicant Mehta,58,M,438808,1736000,HOME LOAN,Homemaker,555,0,12,17.48,HDFC Bank,1/7/2021,Rejected,Yes,Pune
LN930778,Applicant Singh,35,F,323306,1170000,Home loan,Self-Employed,683,0,60,7.77,IDFC First Bank,8/1/2021,Rejected,Yes,Bengaluru
LN502507,Applicant Reddy,37,F,25817,245000,car loan,Govt Employee,692,4,84,23.12,SBI,8/1/2021,Approved,No,New Delhi
LN667598,Applicant Mehta,56,M,22574,100000,Loan Against Property,Government Employee,871,4,48,15.21,SBI,1/8/2021,Approved,Yes,Hyderabad
LN127534,Applicant Patel,49,M,47905,97000,Personal Loan,salaried,581,,120,15.57,Yes Bank,8/1/2021,Rejected,Yes,mumbai
LN384270,Applicant Patel,53,M,404968,4503000,Education Loan,Govt Employee,645,4,60,20.25,HDFC Bank,9/1/2021,Approved,No,Mumbai
LN396559,Applicant Gupta,52,M,19171,158000,Medical Emergency Loan,,700,4,240,17.63,Punjab National Bank,1/9/2021,Approved,No,Ahmedabad
LN341223,Applicant Verma,28,M,54058,349000,HOME LOAN,Freelancer,833,3,240,9.5,Kotak Mahindra,9/1/2021,Approved,No,Pune
LN992792,Applicant Sharma,63,M,42329,392000,Car Loan,Self-Employed,383,1,48,9.24,Kotak Mahindra,10/1/2021,Rejected,Yes,Mumbai
LN814203,Applicant Yadav,33,F,27377,146000,Car Loan,Self-Employed,602,4,84,11.66,HDFC Bank,1/10/2021,Rejected,Yes,Pune
LN278168,Applicant Yadav,37,M,177239,2045000,Car Loan,SALARIED,628,1,24,8.66,Bank of Baroda,10/1/2021,Pending,NA,Mumbai
LN657057,Applicant Reddy,41,F,348448,936000,personal loan,Retired,698,0,24,21.24,ICICI Bank,10/1/2021,Rejected,Yes,Bengaluru
LN714222,Applicant Yadav,34,F,17393,146000,Car Loan,freelancer,347,3,36,8.15,Federal Bank,1/11/2021,Rejected,Yes,Pune
LN116060,Applicant Gupta,45,M,259767,2539000,personal loan,,662,4,24,23.11,IndusInd Bank,11/1/2021,Rejected,Yes,New Delhi
LN744135,Applicant Verma,44,M,23529,157000,Car Loan,salaried,567,3,240,9.33,Canara Bank,11/1/2021,Rejected,Yes,chennai
LN419146,Applicant Sharma,53,M,19637,188000,Gold Loan,Govt Employee,886,2,48,21.65,IndusInd Bank,1/12/2021,Rejected,Yes,New Delhi
LN555727,Applicant Sharma,28,F,25700,290000,Education Loan,Salaried,431,1,60,11.41,IndusInd Bank,12/1/2021,Rejected,Yes,Jaipur
LN934247,Applicant Sharma,48,F,308174,2909000,car loan,Retired,801,4,24,18.4,Yes Bank,12/1/2021,Approved,No,New Delhi
LN114276,Applicant Singh,39,F,17385,89000,Home loan,Salaried,343,1,180,13.14,Punjab National Bank,1/12/2021,Approved,No,Ahmedabad
LN622227,Applicant Yadav,31,F,142987,1089000,Loan Against Property,Freelancer,579,1,180,8.61,Kotak Mahindra,13-01-2021,Approved,No,New Delhi
LN708312,Applicant Kumar,30,M,23901,266000,Business Loan,Homemaker,662,2,120,19.55,HDFC Bank,13/01/2021,Pending,NA,chennai
LN902303,Applicant Yadav,21,M,485453,3151000,Business Loan,Homemaker,307,1,120,20.83,Bank of Baroda,1/13/2021,Rejected,Yes,pune
LN327011,Applicant Mehta,25,M,413998,3650000,Home Loan,Salaried,381,0,120,12.43,IDFC First Bank,14-01-2021,Rejected,Yes,New Delhi
LN564907,Applicant Yadav,36,M,48073,320000,car loan,,381,1,180,20.45,Kotak Mahindra,14/01/2021,Rejected,Yes,New Delhi
LN174185,Applicant Singh,40,M,59794,192000,HOME LOAN,Homemaker,723,2,48,15.05,Yes Bank,1/14/2021,Rejected,Yes,Bengaluru
LN566243,Applicant Gupta,40,F,25583,66000,Gold Loan,Homemaker,883,2,84,19.54,IDFC First Bank,14-01-2021,Approved,No,New Delhi
LN498002,Applicant Sharma,48,M,63062,727000,Medical Emergency Loan,Freelancer,709,4,180,18.15,Canara Bank,15/01/2021,Approved,No,Jaipur
LN574697,Applicant Joshi,25,M,170306,1384000,car loan,Business Owner,823,0,180,22.84,Kotak Mahindra,1/15/2021,Approved,No,chennai
LN370876,Applicant Mehta,23,F,62921,191000,Car Loan,Business Owner,508,1,48,12.91,SBI,15-01-2021,Rejected,Yes,Pune
LN897787,Applicant Yadav,50,F,22312,236000,HOME LOAN,Freelancer,614,2,12,9.32,ICICI Bank,16/01/2021,Approved,No,New Delhi
LN249276,Applicant Kumar,43,M,72759,526000,personal loan,Govt Employee,875,2,24,20.51,Yes Bank,1/16/2021,Rejected,Yes,Chennai
LN741362,Applicant Singh,54,Other,57376,558000,car loan,SALARIED,594,1,48,20.91,SBI,16-01-2021,Approved,Yes,Hyderabad
LN136210,Applicant Mehta,48,M,18672,61000,Home Loan,Self Employed,573,1,240,,Yes Bank,16/01/2021,Rejected,Yes,Bengaluru
LN820490,Applicant Yadav,21,F,67011,742000,Car Loan,salaried,609,4,36,9.58,Federal Bank,1/17/2021,Approved,No,pune
LN160150,Applicant Kumar,47,F,53398,422000,Home Loan,Self Employed,512,4,60,21.23,Federal Bank,17-01-2021,Rejected,Yes,Pune
LN751519,Applicant Joshi,54,M,16678,156000,HOME LOAN,Homemaker,802,0,12,17.41,Kotak Mahindra,17/01/2021,Approved,No,Ahmedabad
LN423468,Applicant Mehta,51,F,60015,139000,Medical Emergency Loan,Self Employed,509,4,60,14.97,IDFC First Bank,1/18/2021,Rejected,Yes,New Delhi
LN951444,Applicant Singh,52,F,306058,1577000,Gold Loan,salaried,392,4,12,21.14,Punjab National Bank,18-01-2021,Rejected,NA,Bengaluru
LN206424,Applicant Reddy,27,M,20699,97000,Gold Loan,Government Employee,672,3,84,11.56,Bank of Baroda,18/01/2021,Rejected,NA,Hyderabad
LN680705,Applicant Patel,63,F,19632,226000,car loan,Homemaker,809,1,12,12.86,IDFC First Bank,1/18/2021,Rejected,NA,Bengaluru
LN899789,Applicant Sharma,58,F,34114,131000,Personal Loan,Retired,770,4,24,20.26,Kotak Mahindra,19-01-2021,Approved,No,Bengaluru
LN260787,Applicant Kumar,54,F,199246,1807000,Medical Emergency Loan,self-employed,626,3,240,17.25,Kotak Mahindra,19/01/2021,Rejected,NA,New Delhi
LN411249,Applicant Gupta,24,F,98800,240000,Home Loan,Salaried,869,3,36,10.94,Punjab National Bank,1/19/2021,Approved,No,Jaipur
LN977626,Applicant Joshi,39,M,79723,317000,Gold Loan,Freelancer,632,4,240,22.25,IndusInd Bank,20-01-2021,Approved,No,Jaipur
LN819087,Applicant Gupta,42,M,179441,966000,Business Loan,Govt Employee,324,2,48,23.91,HDFC Bank,20/01/2021,Rejected,NA,Pune
LN444439,Applicant Sharma,49,M,26789,266000,Loan Against Property,Salaried,889,4,60,9.89,Punjab National Bank,1/20/2021,Approved,No,Lucknow
LN727747,Applicant Yadav,54,F,20287,201000,Business Loan,SALARIED,734,,120,12.39,Yes Bank,20-01-2021,Rejected,NA,Lucknow
LN813515,Applicant Sharma,54,F,49576,571000,Home Loan,Salaried,657,1,48,19.87,Bank of Baroda,21/01/2021,Approved,No,Bengaluru
LN149334,Applicant Verma,23,M,24358,272000,personal loan,salaried,663,,84,9.54,Axis Bank,1/21/2021,Rejected,NA,mumbai
LN225243,Applicant Kumar,41,M,200312,564000,Car Loan,Business Owner,704,0,240,15.17,Federal Bank,21-01-2021,Approved,No,Pune
LN818210,Applicant Singh,58,M,76167,784000,Loan Against Property,Business Owner,550,,180,11.1,Kotak Mahindra,21/01/2021,Pending,NA,Chennai
LN687860,Applicant Kumar,41,M,26561,173000,Home loan,Homemaker,654,4,12,18.46,Bank of Baroda,1/22/2021,Rejected,NA,Hyderabad
LN158814,Applicant Reddy,37,M,350914,3740000,Two Wheeler Loan,Govt Employee,572,1,84,13.44,Canara Bank,22-01-2021,Pending,NA,pune
LN468209,Applicant Singh,49,M,20142,58000,Medical Emergency Loan,Self Employed,570,0,240,21.49,ICICI Bank,22/01/2021,Pending,NA,Mumbai
LN570686,Applicant Verma,53,M,20342,208000,Medical Emergency Loan,Self Employed,841,3,36,,ICICI Bank,1/23/2021,Approved,No,Bengaluru
LN512899,Applicant Yadav,59,F,15659,56000,Home loan,Business Owner,574,2,36,16.35,IndusInd Bank,23-01-2021,Rejected,NA,New Delhi
LN402128,Applicant Mehta,46,F,36099,193000,Personal Loan,Government Employee,490,,60,22.17,Federal Bank,23/01/2021,Approved,No,Chennai
LN217547,Applicant Reddy,27,F,397650,910000,Personal Loan,Govt Employee,386,4,240,20.18,SBI,1/23/2021,Rejected,NA,New Delhi
LN629331,Applicant Joshi,29,M,60586,196000,car loan,Retired,661,3,36,20.85,Yes Bank,24-01-2021,Approved,No,Chennai
LN331198,Applicant Reddy,38,F,54860,354000,HOME LOAN,Government Employee,313,1,60,7.71,Canara Bank,24/01/2021,Rejected,NA,Kolkata
LN213479,Applicant Gupta,21,M,262240,2670000,Medical Emergency Loan,Self Employed,654,,60,18.35,Kotak Mahindra,1/24/2021,Approved,No,Hyderabad
LN410104,Applicant Verma,31,Other,20977,204000,personal loan,Freelancer,637,1,180,,ICICI Bank,25-01-2021,Pending,NA,Kolkata
LN823888,Applicant Gupta,42,F,20415,89000,HOME LOAN,SALARIED,695,2,24,22.08,Federal Bank,25/01/2021,Approved,No,Chennai
LN169933,Applicant Kumar,52,F,64157,226000,Loan Against Property,,792,1,180,8.13,Bank of Baroda,1/25/2021,Approved,No,Bengaluru
LN391765,Applicant Reddy,63,F,74662,440000,Medical Emergency Loan,Government Employee,744,0,12,21.44,Axis Bank,25-01-2021,Approved,No,mumbai
LN768371,Applicant Yadav,30,M,36154,392000,personal loan,Self-Employed,724,0,60,9.74,Punjab National Bank,26/01/2021,Approved,No,Mumbai
LN717098,Applicant Kumar,47,F,17204,50000,Home loan,Business Owner,642,2,36,17.27,Kotak Mahindra,1/26/2021,Approved,No,Ahmedabad
LN418055,Applicant Mehta,32,Other,51400,382000,Education Loan,freelancer,808,2,60,19.49,Bank of Baroda,26-01-2021,Approved,No,Mumbai
LN690912,Applicant Verma,50,M,357181,1032000,Home loan,SALARIED,699,2,240,10.76,Federal Bank,27/01/2021,Approved,No,Ahmedabad
LN396404,Applicant Mehta,30,F,16531,111000,Home loan,Govt Employee,837,0,12,10.25,Federal Bank,1/27/2021,Approved,No,Chennai
LN345392,Applicant Mehta,32,M,60523,198000,Car Loan,SALARIED,624,,84,,Bank of Baroda,27-01-2021,Rejected,NA,Lucknow
LN798739,Applicant Singh,58,F,22575,63000,Gold Loan,Govt Employee,316,0,84,10.26,ICICI Bank,27/01/2021,Rejected,NA,chennai
LN475323,Applicant Yadav,41,M,43087,168000,Home Loan,Business Owner,726,1,120,15.97,IDFC First Bank,1/28/2021,Approved,Yes,Jaipur
LN343281,Applicant Reddy,47,M,452528,2060000,Medical Emergency Loan,Salaried,456,2,60,11.83,Kotak Mahindra,28-01-2021,Rejected,NA,chennai
LN183273,Applicant Verma,26,M,58763,280000,personal loan,Business Owner,415,3,120,8.02,HDFC Bank,28/01/2021,Rejected,NA,Bengaluru
LN642728,Applicant Sharma,58,M,19892,168000,Home loan,salaried,687,0,24,8.61,HDFC Bank,1/29/2021,Approved,No,Bengaluru
LN180033,Applicant Joshi,28,F,202115,515000,Personal Loan,,896,3,24,9.67,Kotak Mahindra,29-01-2021,Approved,No,New Delhi
LN822323,Applicant Reddy,57,M,20801,58000,car loan,Salaried,659,4,180,16.5,Kotak Mahindra,29/01/2021,Approved,No,Jaipur
LN952610,Applicant Joshi,26,F,32708,127000,car loan,Government Employee,789,0,84,10.99,IndusInd Bank,1/29/2021,Approved,No,New Delhi
LN508192,Applicant Singh,54,F,50144,538000,Loan Against Property,freelancer,627,4,60,,Canara Bank,30-01-2021,Rejected,NA,Bengaluru
LN776667,Applicant Patel,60,M,28446,236000,Car Loan,Salaried,818,4,36,7.95,Canara Bank,30/01/2021,Rejected,NA,Pune
LN399872,Applicant Reddy,42,M,26964,251000,car loan,Freelancer,551,0,48,18.38,Yes Bank,1/30/2021,Rejected,NA,Lucknow
LN287697,Applicant Reddy,49,Other,15698,90000,Two Wheeler Loan,Government Employee,351,0,180,8.98,Axis Bank,31-01-2021,Rejected,NA,Chennai
LN518439,Applicant Gupta,29,F,496978,2054000,Medical Emergency Loan,Business Owner,489,4,120,22.19,IndusInd Bank,31/01/2021,Rejected,NA,Chennai
LN772657,Applicant Joshi,41,M,353349,841000,Business Loan,Government Employee,448,2,240,8.18,SBI,1/31/2021,Rejected,NA,New Delhi
LN890301,Applicant Mehta,52,M,389237,2680000,Loan Against Property,freelancer,788,0,36,9.86,Punjab National Bank,31-01-2021,Approved,No,New Delhi
LN728832,Applicant Reddy,28,Other,190155,1472000,Loan Against Property,Retired,625,4,84,12.08,Kotak Mahindra,1/2/2021,Approved,No,New Delhi
LN458293,Applicant Verma,63,M,235289,2581000,Two Wheeler Loan,Self Employed,534,1,120,9.16,ICICI Bank,2/1/2021,Rejected,NA,Bengaluru
LN443888,Applicant Sharma,30,F,27307,295000,Two Wheeler Loan,SALARIED,609,3,24,22.54,SBI,1/2/2021,Approved,No,pune
LN213129,Applicant Kumar,43,M,34798,217000,Home Loan,Salaried,895,1,48,9.68,Kotak Mahindra,2/2/2021,Approved,No,Hyderabad
LN866472,Applicant Kumar,40,M,15055,94000,Home loan,salaried,579,0,12,8.87,SBI,2/2/2021,Rejected,NA,Bengaluru
LN633385,Applicant Joshi,33,F,70761,256000,Two Wheeler Loan,self-employed,541,0,48,8.49,Punjab National Bank,2/2/2021,Approved,Yes,Mumbai
LN618645,Applicant Verma,42,M,224063,1025000,personal loan,Freelancer,851,0,24,,ICICI Bank,2/2/2021,Approved,No,Bengaluru
LN658048,Applicant Mehta,61,M,41383,466000,Business Loan,freelancer,879,,120,18.22,ICICI Bank,2/3/2021,Approved,No,Bengaluru
LN891023,Applicant Verma,35,M,49978,170000,HOME LOAN,Freelancer,644,,12,19.99,ICICI Bank,3/2/2021,Approved,No,New Delhi
LN742534,Applicant Yadav,51,F,78770,921000,Personal Loan,salaried,882,2,84,19.13,Federal Bank,3/2/2021,Approved,No,Chennai
LN536546,Applicant Verma,52,M,22941,162000,Loan Against Property,Salaried,621,4,36,23.47,ICICI Bank,2/4/2021,Approved,No,Bengaluru
LN699248,Applicant Singh,33,M,236951,1556000,car loan,Government Employee,600,4,180,20.18,IDFC First Bank,4/2/2021,Approved,No,pune
LN679592,Applicant Kumar,45,M,60158,225000,Business Loan,Self-Employed,662,4,180,13.81,IDFC First Bank,4/2/2021,Pending,NA,Jaipur
LN723918,Applicant Mehta,41,M,54070,466000,Business Loan,Self Employed,367,3,120,12.28,Yes Bank,2/4/2021,Rejected,NA,mumbai
LN933319,Applicant Yadav,24,M,26111,172000,Loan Against Property,Government Employee,835,0,120,12.32,Federal Bank,5/2/2021,Approved,No,Kolkata
LN652227,Applicant Kumar,62,F,497480,2839000,Two Wheeler Loan,,586,1,12,12.66,Yes Bank,5/2/2021,Pending,NA,Chennai
LN392193,Applicant Patel,35,M,100567,467000,Gold Loan,Self-Employed,691,1,240,10.58,ICICI Bank,2/5/2021,Rejected,NA,chennai
LN260769,Applicant Sharma,1,F,65993,176000,HOME LOAN,Self Employed,586,1,36,13.99,HDFC Bank,6/2/2021,Pending,NA,Kolkata
LN792140,Applicant Singh,62,M,37973,273000,Gold Loan,Freelancer,581,,180,9.32,Kotak Mahindra,6/2/2021,Rejected,NA,Mumbai
LN547962,Applicant Sharma,28,M,360852,1851000,Gold Loan,Government Employee,691,0,24,12.4,Punjab National Bank,2/6/2021,Rejected,NA,chennai
LN308722,Applicant Singh,51,M,216535,1966000,Home loan,SALARIED,569,4,12,10.39,Punjab National Bank,6/2/2021,Rejected,NA,New Delhi
LN725312,Applicant Reddy,30,M,74298,686000,Loan Against Property,Salaried,688,4,12,22.67,HDFC Bank,7/2/2021,Rejected,NA,New Delhi
LN853147,Applicant Singh,41,M,55291,294000,Gold Loan,freelancer,392,0,180,15.11,SBI,2/7/2021,Rejected,NA,Kolkata
LN454367,Applicant Kumar,37,F,30671,267000,Car Loan,freelancer,380,4,240,21.07,Axis Bank,7/2/2021,Rejected,NA,Chennai
LN707998,Applicant Sharma,25,F,466328,2139000,Two Wheeler Loan,salaried,472,4,36,17.21,Yes Bank,8/2/2021,Rejected,NA,mumbai
LN673849,Applicant Sharma,33,M,38942,361000,Two Wheeler Loan,SALARIED,605,0,120,17.38,Canara Bank,2/8/2021,Approved,No,Jaipur
LN970006,Applicant Verma,41,F,138653,300000,Business Loan,,867,1,24,,SBI,8/2/2021,Approved,No,New Delhi
LN484110,Applicant Sharma,64,M,28389,100000,HOME LOAN,SALARIED,674,3,180,7.71,IDFC First Bank,8/2/2021,Rejected,NA,mumbai
LN318814,Applicant Mehta,32,M,25808,115000,Car Loan,SALARIED,856,0,36,12.1,Bank of Baroda,2/9/2021,Approved,No,pune
LN777787,Applicant Verma,45,M,361954,3522000,Home loan,self-employed,576,4,60,8.47,Kotak Mahindra,9/2/2021,Approved,Yes,Bengaluru
LN983919,Applicant Reddy,48,M,63756,170000,Home Loan,Homemaker,887,4,120,12.07,Canara Bank,9/2/2021,Approved,No,Jaipur
LN620283,Applicant Kumar,22,M,20393,79000,car loan,self-employed,778,3,240,17.7,HDFC Bank,2/9/2021,Approved,No,Lucknow
LN367341,Applicant Singh,41,F,57598,322000,Car Loan,Business Owner,749,3,12,19.2,SBI,10/2/2021,Approved,No,Chennai
LN545957,Applicant Gupta,61,M,42182,88000,Gold Loan,,304,3,60,17.6,IndusInd Bank,10/2/2021,Approved,No,Kolkata
LN882218,Applicant Yadav,42,M,18099,174000,Home loan,Self-Employed,554,0,12,16.65,Axis Bank,2/10/2021,Approved,No,New Delhi
LN789197,Applicant Joshi,22,F,56123,427000,Personal Loan,Self Employed,835,,24,8.84,IDFC First Bank,11/2/2021,Approved,No,Bengaluru
LN474547,Applicant Yadav,50,M,70600,777000,car loan,Government Employee,826,3,48,9.62,Axis Bank,11/2/2021,Approved,No,New Delhi
LN925251,Applicant Singh,21,M,16276,38000,Home Loan,SALARIED,476,2,36,8.18,HDFC Bank,2/11/2021,Rejected,NA,Bengaluru
LN774416,Applicant Mehta,33,M,63187,298000,Gold Loan,salaried,736,1,60,,IDFC First Bank,11/2/2021,Rejected,NA,New Delhi
LN337071,Applicant Joshi,23,M,135350,1260000,HOME LOAN,SALARIED,633,3,84,12.84,HDFC Bank,12/2/2021,Rejected,NA,chennai
LN195685,Applicant Patel,40,F,18766,164000,Car Loan,Retired,675,4,12,14.14,Kotak Mahindra,2/12/2021,Rejected,NA,pune
LN268391,Applicant Yadav,25,M,123056,545000,Home Loan,SALARIED,644,0,240,17.8,HDFC Bank,12/2/2021,Rejected,NA,Chennai
LN165276,Applicant Verma,22,F,19846,158000,Two Wheeler Loan,Homemaker,847,4,24,23.49,Punjab National Bank,13/02/2021,Approved,No,pune
LN707148,Applicant Singh,46,M,23662,235000,Two Wheeler Loan,salaried,563,4,180,17.65,IDFC First Bank,2/13/2021,Approved,No,New Delhi
LN580505,Applicant Patel,49,M,41653,97000,Loan Against Property,Salaried,653,0,240,9.44,Bank of Baroda,13-02-2021,Approved,No,Bengaluru
LN171651,Applicant Patel,38,M,36638,336000,Medical Emergency Loan,Govt Employee,729,1,12,22.39,HDFC Bank,13/02/2021,Approved,No,Bengaluru
LN140495,Applicant Kumar,29,M,19188,87000,Education Loan,,632,4,24,,Federal Bank,2/14/2021,Approved,No,New Delhi
LN943376,Applicant Patel,42,M,29098,334000,HOME LOAN,Salaried,612,1,36,,Canara Bank,14-02-2021,Rejected,NA,Hyderabad
LN475555,Applicant Kumar,48,M,151354,1117000,car loan,Freelancer,641,0,240,19.84,IndusInd Bank,14/02/2021,Approved,No,New Delhi
LN951119,Applicant Sharma,32,M,55537,130000,Two Wheeler Loan,Self Employed,754,3,36,,Yes Bank,2/15/2021,Approved,No,New Delhi
LN856321,Applicant Joshi,57,M,15638,94000,HOME LOAN,Retired,342,4,84,16.12,ICICI Bank,15-02-2021,Rejected,NA,pune
LN257651,Applicant Verma,38,F,16484,192000,Car Loan,self-employed,435,4,240,11.27,Axis Bank,15/02/2021,Approved,No,New Delhi
LN434807,Applicant Joshi,54,M,51389,478000,Business Loan,Retired,597,,120,19.09,Bank of Baroda,2/15/2021,Pending,NA,New Delhi
LN604684,Applicant Yadav,62,F,16122,81000,Loan Against Property,Homemaker,728,0,84,23.66,IDFC First Bank,16-02-2021,Approved,No,Chennai
LN864610,Applicant Kumar,62,F,217103,1683000,Loan Against Property,,648,,24,14.55,SBI,16/02/2021,Approved,No,New Delhi
LN717883,Applicant Sharma,23,M,16066,128000,HOME LOAN,Business Owner,737,0,84,23.97,Axis Bank,2/16/2021,Approved,No,pune
LN930877,Applicant Sharma,25,M,137775,308000,Education Loan,Business Owner,677,2,12,11.66,SBI,17-02-2021,Approved,No,Bengaluru
LN835516,Applicant Verma,43,M,55032,208000,Personal Loan,Self-Employed,588,2,120,9.49,HDFC Bank,17/02/2021,Approved,No,New Delhi
LN534836,Applicant Reddy,33,M,36471,274000,Personal Loan,self-employed,693,0,84,23.98,IndusInd Bank,2/17/2021,Approved,No,Lucknow
LN990665,Applicant Verma,44,M,282747,1704000,Home Loan,Freelancer,569,3,180,13.71,HDFC Bank,17-02-2021,Rejected,NA,mumbai
LN254074,Applicant Mehta,48,M,26080,102000,Two Wheeler Loan,self-employed,896,2,24,21.68,Federal Bank,18/02/2021,Approved,No,Pune
LN168479,Applicant Sharma,37,M,57856,563000,Medical Emergency Loan,Business Owner,691,4,12,7.99,ICICI Bank,2/18/2021,Rejected,NA,Lucknow
LN329681,Applicant Verma,26,M,71846,495000,personal loan,Homemaker,616,3,240,17.86,Federal Bank,18-02-2021,Approved,No,chennai
LN223736,Applicant Sharma,47,M,47327,241000,Car Loan,SALARIED,658,0,240,7.55,IDFC First Bank,19/02/2021,Approved,No,chennai
LN692765,Applicant Gupta,49,M,21694,78000,Education Loan,freelancer,794,2,120,15.82,Punjab National Bank,2/19/2021,Rejected,NA,Pune
LN444512,Applicant Yadav,32,M,407090,3302000,Business Loan,Government Employee,673,,12,19.65,IDFC First Bank,19-02-2021,Approved,No,Mumbai
LN442806,Applicant Kumar,55,F,352944,3057000,Home loan,salaried,632,4,24,17.75,SBI,19/02/2021,Pending,NA,Chennai
LN653732,Applicant Reddy,25,F,21776,189000,Education Loan,Govt Employee,641,0,240,17.86,Bank of Baroda,2/20/2021,Pending,NA,New Delhi
LN294782,Applicant Kumar,22,M,71568,301000,Medical Emergency Loan,Freelancer,639,1,60,12.89,IDFC First Bank,20-02-2021,Approved,No,Pune
LN320440,Applicant Yadav,31,F,69341,551000,Education Loan,Freelancer,320,2,24,17.96,Canara Bank,20/02/2021,Rejected,NA,Kolkata
LN815554,Applicant Sharma,24,M,302740,3347000,Personal Loan,Retired,784,4,60,21.6,IndusInd Bank,2/21/2021,Approved,No,Jaipur
LN790922,Applicant Joshi,42,M,22330,124000,HOME LOAN,salaried,462,3,12,15.69,IndusInd Bank,21-02-2021,Rejected,NA,New Delhi
LN573664,Applicant Singh,21,M,24670,101000,car loan,freelancer,341,2,60,16.44,Federal Bank,21/02/2021,Rejected,NA,Jaipur
LN445294,Applicant Sharma,36,M,56660,551000,Home loan,,616,2,120,21.33,Kotak Mahindra,2/21/2021,Pending,NA,Ahmedabad
LN389495,Applicant Joshi,22,F,65488,247000,Personal Loan,,423,0,180,9.51,Kotak Mahindra,22-02-2021,Rejected,NA,New Delhi
LN826394,Applicant Yadav,61,F,24561,111000,HOME LOAN,self-employed,768,4,36,17.42,IDFC First Bank,22/02/2021,Rejected,NA,Hyderabad
LN870529,Applicant Kumar,47,F,437792,1316000,Car Loan,Govt Employee,803,2,48,15.33,Federal Bank,2/22/2021,Approved,No,Bengaluru
