application_id,applicant_name,applicant_age,gender,monthly_income,loan_amount_requested,loan_purpose,employment_type,credit_score,existing_loans_count,loan_tenure_months,interest_rate_pct,bank_name,application_date,approval_status,default_status,city
LN814203,Applicant Yadav,33,Female,27377,146000.0,Car Loan,Self-Employed,602,4.0,84,11.66,HDFC Bank,2021-01-10,Rejected,Yes,Pune
LN278168,Applicant Yadav,37,M,177239,2045000.0,Car Loan,SALARIED,628,1.0,24,8.66,Bank of Baroda,10-01-2021,Pending,NA,Mumbai
LN657057,Applicant Reddy,41,Female,348448,936000.0,personal loan,Retired,698,0.0,24,21.24,ICICI Bank,10/01/2021,Rejected,Yes,Bangalore
LN714222,Applicant Yadav,34,Female,17393,146000.0,Car Loan,freelancer,347,3.0,36,8.15,Federal Bank,2021-01-11,Rejected,Yes,Pune
LN116060,Applicant Gupta,45,Male,259767,2539000.0,personal loan,,662,4.0,24,23.11,IndusInd Bank,11-01-2021,Rejected,Yes,Delhi
LN744135,Applicant Verma,44,Male,23529,157000.0,Car Loan,salaried,567,3.0,240,9.33,Canara Bank,11/01/2021,Rejected,Yes,chennai
LN419146,Applicant Sharma,53,M,19637,188000.0,Gold Loan,Govt Employee,886,2.0,48,21.65,IndusInd Bank,2021-01-12,Rejected,Yes,Delhi
LN555727,Applicant Sharma,28,female,25700,290000.0,Education Loan,Salaried,431,1.0,60,11.41,IndusInd Bank,12-01-2021,Rejected,Yes,Jaipur
LN934247,Applicant Sharma,48,Female,308174,2909000.0,car loan,Retired,801,4.0,24,18.4,Yes Bank,12/01/2021,Approved,No,delhi
LN114276,Applicant Singh,39,Female,17385,89000.0,Home loan,Salaried,343,1.0,180,13.14,Punjab National Bank,2021-01-12,Approved,No,Ahmedabad
LN622227,Applicant Yadav,31,Female,142987,1089000.0,Loan Against Property,Freelancer,579,1.0,180,8.61,Kotak Mahindra,13-01-2021,Approved,No,Delhi
LN708312,Applicant Kumar,30,M,23901,266000.0,Business Loan,Homemaker,662,2.0,120,19.55,HDFC Bank,13/01/2021,Pending,NA,chennai
LN902303,Applicant Yadav,21,Male,485453,3151000.0,Business Loan,Homemaker,307,1.0,120,20.83,Bank of Baroda,2021-01-13,Rejected,Yes,pune
LN327011,Applicant Mehta,25,Male,413998,3650000.0,Home Loan,Salaried,381,0.0,120,12.43,IDFC First Bank,14-01-2021,Rejected,Yes,New Delhi
LN564907,Applicant Yadav,36,M,48073,320000.0,car loan,,381,1.0,180,20.45,Kotak Mahindra,14/01/2021,Rejected,Yes,New Delhi
LN174185,Applicant Singh,40,Male,59794,192000.0,HOME LOAN,Homemaker,723,2.0,48,15.05,Yes Bank,2021-01-14,Rejected,Yes,Bengaluru
LN566243,Applicant Gupta,40,Female,25583,66000.0,Gold Loan,Homemaker,883,2.0,84,19.54,IDFC First Bank,14-01-2021,Approved,No,New Delhi
LN498002,Applicant Sharma,48,Male,63062,727000.0,Medical Emergency Loan,Freelancer,709,4.0,180,18.15,Canara Bank,15/01/2021,Approved,No,Jaipur
LN574697,Applicant Joshi,25,Male,170306,1384000.0,car loan,Business Owner,823,0.0,180,22.84,Kotak Mahindra,2021-01-15,Approved,No,chennai
LN370876,Applicant Mehta,23,Female,62921,191000.0,Car Loan,Business Owner,508,1.0,48,12.91,SBI,15-01-2021,Rejected,Yes,Pune
LN897787,Applicant Yadav,50,Female,22312,236000.0,HOME LOAN,Freelancer,614,2.0,12,9.32,ICICI Bank,16/01/2021,Approved,No,delhi
LN249276,Applicant Kumar,43,Male,72759,526000.0,personal loan,Govt Employee,875,2.0,24,20.51,Yes Bank,2021-01-16,Rejected,Yes,Chennai
LN741362,Applicant Singh,54,Other,57376,558000.0,car loan,SALARIED,594,1.0,48,20.91,SBI,16-01-2021,Approved,Yes,Hyderabad
LN136210,Applicant Mehta,48,male,18672,61000.0,Home Loan,Self Employed,573,1.0,240,,Yes Bank,16/01/2021,Rejected,Yes,Bangalore
LN820490,Applicant Yadav,21,Female,67011,742000.0,Car Loan,salaried,609,4.0,36,9.58,Federal Bank,2021-01-17,Approved,No,pune
LN160150,Applicant Kumar,47,female,53398,422000.0,Home Loan,Self Employed,512,4.0,60,21.23,Federal Bank,17-01-2021,Rejected,Yes,Pune
LN751519,Applicant Joshi,54,Male,16678,156000.0,HOME LOAN,Homemaker,802,0.0,12,17.41,Kotak Mahindra,17/01/2021,Approved,No,Ahmedabad
LN423468,Applicant Mehta,51,Female,60015,139000.0,Medical Emergency Loan,Self Employed,509,4.0,60,14.97,IDFC First Bank,2021-01-18,Rejected,Yes,New Delhi
LN951444,Applicant Singh,52,Female,306058,1577000.0,Gold Loan,salaried,392,4.0,12,21.14,Punjab National Bank,18-01-2021,Rejected,NA,Bangalore
LN206424,Applicant Reddy,27,Male,20699,97000.0,Gold Loan,Government Employee,672,3.0,84,11.56,Bank of Baroda,18/01/2021,Rejected,NA,Hyderabad
LN680705,Applicant Patel,63,Female,19632,226000.0,car loan,Homemaker,809,1.0,12,12.86,IDFC First Bank,2021-01-18,Rejected,NA,Bangalore
LN899789,Applicant Sharma,58,Female,34114,131000.0,Personal Loan,Retired,770,4.0,24,20.26,Kotak Mahindra,19-01-2021,Approved,No,Bengaluru
LN260787,Applicant Kumar,54,Female,199246,1807000.0,Medical Emergency Loan,self-employed,626,3.0,240,17.25,Kotak Mahindra,19/01/2021,Rejected,NA,DELHI
LN411249,Applicant Gupta,24,Female,98800,240000.0,Home Loan,Salaried,869,3.0,36,10.94,Punjab National Bank,2021-01-19,Approved,No,Jaipur
LN977626,Applicant Joshi,39,Male,79723,317000.0,Gold Loan,Freelancer,632,4.0,240,22.25,IndusInd Bank,20-01-2021,Approved,No,Jaipur
LN819087,Applicant Gupta,42,Male,179441,966000.0,Business Loan,Govt Employee,324,2.0,48,23.91,HDFC Bank,20/01/2021,Rejected,NA,Pune
LN444439,Applicant Sharma,49,M,26789,266000.0,Loan Against Property,Salaried,889,4.0,60,9.89,Punjab National Bank,2021-01-20,Approved,No,Lucknow
LN727747,Applicant Yadav,54,Female,20287,201000.0,Business Loan,SALARIED,734,,120,12.39,Yes Bank,20-01-2021,Rejected,NA,Lucknow
LN813515,Applicant Sharma,54,F,49576,571000.0,Home Loan,Salaried,657,1.0,48,19.87,Bank of Baroda,21/01/2021,Approved,No,Bangalore
LN149334,Applicant Verma,23,male,24358,272000.0,personal loan,salaried,663,,84,9.54,Axis Bank,2021-01-21,Rejected,NA,mumbai
LN225243,Applicant Kumar,41,Male,200312,564000.0,Car Loan,Business Owner,704,0.0,240,15.17,Federal Bank,21-01-2021,Approved,No,Pune
LN818210,Applicant Singh,58,Male,76167,784000.0,Loan Against Property,Business Owner,550,,180,11.1,Kotak Mahindra,21/01/2021,Pending,NA,Chennai
LN687860,Applicant Kumar,41,Male,26561,173000.0,Home loan,Homemaker,654,4.0,12,18.46,Bank of Baroda,2021-01-22,Rejected,NA,Hyderabad
LN158814,Applicant Reddy,37,Male,350914,3740000.0,Two Wheeler Loan,Govt Employee,572,1.0,84,13.44,Canara Bank,22-01-2021,Pending,NA,pune
LN468209,Applicant Singh,49,M,20142,58000.0,Medical Emergency Loan,Self Employed,570,0.0,240,21.49,ICICI Bank,22/01/2021,Pending,NA,Mumbai
LN570686,Applicant Verma,53,Male,20342,208000.0,Medical Emergency Loan,Self Employed,841,3.0,36,,ICICI Bank,2021-01-23,Approved,No,Bengaluru
LN512899,Applicant Yadav,59,Female,15659,56000.0,Home loan,Business Owner,574,2.0,36,16.35,IndusInd Bank,23-01-2021,Rejected,NA,delhi
LN402128,Applicant Mehta,46,Female,36099,193000.0,Personal Loan,Government Employee,490,,60,22.17,Federal Bank,23/01/2021,Approved,No,Chennai
LN217547,Applicant Reddy,27,Female,397650,910000.0,Personal Loan,Govt Employee,386,4.0,240,20.18,SBI,2021-01-23,Rejected,NA,New Delhi
LN629331,Applicant Joshi,29,male,60586,196000.0,car loan,Retired,661,3.0,36,20.85,Yes Bank,24-01-2021,Approved,No,Chennai
LN331198,Applicant Reddy,38,Female,54860,354000.0,HOME LOAN,Government Employee,313,1.0,60,7.71,Canara Bank,24/01/2021,Rejected,NA,Kolkata
LN213479,Applicant Gupta,21,M,262240,2670000.0,Medical Emergency Loan,Self Employed,654,,60,18.35,Kotak Mahindra,2021-01-24,Approved,No,Hyderabad
LN410104,Applicant Verma,31,Other,20977,204000.0,personal loan,Freelancer,637,1.0,180,,ICICI Bank,25-01-2021,Pending,NA,Kolkata
LN823888,Applicant Gupta,42,Female,20415,89000.0,HOME LOAN,SALARIED,695,2.0,24,22.08,Federal Bank,25/01/2021,Approved,No,Chennai
LN169933,Applicant Kumar,52,Female,64157,226000.0,Loan Against Property,,792,1.0,180,8.13,Bank of Baroda,2021-01-25,Approved,No,Bengaluru
LN391765,Applicant Reddy,63,Female,74662,440000.0,Medical Emergency Loan,Government Employee,744,0.0,12,21.44,Axis Bank,25-01-2021,Approved,No,mumbai
LN768371,Applicant Yadav,30,Male,36154,392000.0,personal loan,Self-Employed,724,0.0,60,9.74,Punjab National Bank,26/01/2021,Approved,No,Mumbai
LN717098,Applicant Kumar,47,Female,17204,50000.0,Home loan,Business Owner,642,2.0,36,17.27,Kotak Mahindra,2021-01-26,Approved,No,Ahmedabad
LN418055,Applicant Mehta,32,Other,51400,382000.0,Education Loan,freelancer,808,2.0,60,19.49,Bank of Baroda,26-01-2021,Approved,No,Mumbai
LN690912,Applicant Verma,50,Male,357181,1032000.0,Home loan,SALARIED,699,2.0,240,10.76,Federal Bank,27/01/2021,Approved,No,Ahmedabad
LN396404,Applicant Mehta,30,Female,16531,111000.0,Home loan,Govt Employee,837,0.0,12,10.25,Federal Bank,2021-01-27,Approved,No,Chennai
LN345392,Applicant Mehta,32,M,60523,198000.0,Car Loan,SALARIED,624,,84,,Bank of Baroda,27-01-2021,Rejected,NA,Lucknow
LN798739,Applicant Singh,58,Female,22575,63000.0,Gold Loan,Govt Employee,316,0.0,84,10.26,ICICI Bank,27/01/2021,Rejected,NA,chennai
LN475323,Applicant Yadav,41,Male,43087,168000.0,Home Loan,Business Owner,726,1.0,120,15.97,IDFC First Bank,2021-01-28,Approved,Yes,Jaipur
LN343281,Applicant Reddy,47,Male,452528,2060000.0,Medical Emergency Loan,Salaried,456,2.0,60,11.83,Kotak Mahindra,28-01-2021,Rejected,NA,chennai
LN183273,Applicant Verma,26,Male,58763,280000.0,personal loan,Business Owner,415,3.0,120,8.02,HDFC Bank,28/01/2021,Rejected,NA,Bengaluru
LN642728,Applicant Sharma,58,Male,19892,168000.0,Home loan,salaried,687,0.0,24,8.61,HDFC Bank,2021-01-29,Approved,No,Bangalore
LN180033,Applicant Joshi,28,Female,202115,515000.0,Personal Loan,,896,3.0,24,9.67,Kotak Mahindra,29-01-2021,Approved,No,Delhi
LN822323,Applicant Reddy,57,Male,20801,58000.0,car loan,Salaried,659,4.0,180,16.5,Kotak Mahindra,29/01/2021,Approved,No,Jaipur
LN952610,Applicant Joshi,26,Female,32708,127000.0,car loan,Government Employee,789,0.0,84,10.99,IndusInd Bank,2021-01-29,Approved,No,DELHI
LN508192,Applicant Singh,54,Female,50144,538000.0,Loan Against Property,freelancer,627,4.0,60,,Canara Bank,30-01-2021,Rejected,NA,Bengaluru
LN776667,Applicant Patel,60,Male,28446,236000.0,Car Loan,Salaried,818,4.0,36,7.95,Canara Bank,30/01/2021,Rejected,NA,Pune
LN399872,Applicant Reddy,42,Male,26964,251000.0,car loan,Freelancer,551,0.0,48,18.38,Yes Bank,2021-01-30,Rejected,NA,Lucknow
LN287697,Applicant Reddy,49,Other,15698,90000.0,Two Wheeler Loan,Government Employee,351,0.0,180,8.98,Axis Bank,31-01-2021,Rejected,NA,Chennai
LN518439,Applicant Gupta,29,Female,496978,2054000.0,Medical Emergency Loan,Business Owner,489,4.0,120,22.19,IndusInd Bank,31/01/2021,Rejected,NA,Chennai
LN772657,Applicant Joshi,41,Male,353349,841000.0,Business Loan,Government Employee,448,2.0,240,8.18,SBI,2021-01-31,Rejected,NA,delhi
LN890301,Applicant Mehta,52,Male,389237,2680000.0,Loan Against Property,freelancer,788,0.0,36,9.86,Punjab National Bank,31-01-2021,Approved,No,delhi
LN728832,Applicant Reddy,28,Other,190155,1472000.0,Loan Against Property,Retired,625,4.0,84,12.08,Kotak Mahindra,01/02/2021,Approved,No,delhi
LN458293,Applicant Verma,63,Male,235289,2581000.0,Two Wheeler Loan,Self Employed,534,1.0,120,9.16,ICICI Bank,2021-02-01,Rejected,NA,Bengaluru
LN443888,Applicant Sharma,30,Female,27307,295000.0,Two Wheeler Loan,SALARIED,609,3.0,24,22.54,SBI,01-02-2021,Approved,No,pune
LN213129,Applicant Kumar,43,Male,34798,217000.0,Home Loan,Salaried,895,1.0,48,9.68,Kotak Mahindra,02/02/2021,Approved,No,Hyderabad
LN866472,Applicant Kumar,40,Male,15055,94000.0,Home loan,salaried,579,0.0,12,8.87,SBI,2021-02-02,Rejected,NA,Bangalore
LN633385,Applicant Joshi,33,female,70761,256000.0,Two Wheeler Loan,self-employed,541,0.0,48,8.49,Punjab National Bank,02-02-2021,Approved,Yes,Mumbai
LN618645,Applicant Verma,42,Male,224063,1025000.0,personal loan,Freelancer,851,0.0,24,,ICICI Bank,02/02/2021,Approved,No,Bengaluru
LN658048,Applicant Mehta,61,Male,41383,466000.0,Business Loan,freelancer,879,,120,18.22,ICICI Bank,2021-02-03,Approved,No,Bengaluru
LN891023,Applicant Verma,35,male,49978,170000.0,HOME LOAN,Freelancer,644,,12,19.99,ICICI Bank,03-02-2021,Approved,No,DELHI
LN742534,Applicant Yadav,51,Female,78770,921000.0,Personal Loan,salaried,882,2.0,84,19.13,Federal Bank,03/02/2021,Approved,No,Chennai
LN536546,Applicant Verma,52,Male,22941,162000.0,Loan Against Property,Salaried,621,4.0,36,23.47,ICICI Bank,2021-02-04,Approved,No,Bengaluru
LN699248,Applicant Singh,33,male,236951,1556000.0,car loan,Government Employee,600,4.0,180,20.18,IDFC First Bank,04-02-2021,Approved,No,pune
LN679592,Applicant Kumar,45,Male,60158,225000.0,Business Loan,Self-Employed,662,4.0,180,13.81,IDFC First Bank,04/02/2021,Pending,NA,Jaipur
LN723918,Applicant Mehta,41,Male,54070,466000.0,Business Loan,Self Employed,367,3.0,120,12.28,Yes Bank,2021-02-04,Rejected,NA,mumbai
LN933319,Applicant Yadav,24,Male,26111,172000.0,Loan Against Property,Government Employee,835,0.0,120,12.32,Federal Bank,05-02-2021,Approved,No,Kolkata
LN652227,Applicant Kumar,62,female,497480,2839000.0,Two Wheeler Loan,,586,1.0,12,12.66,Yes Bank,05/02/2021,Pending,NA,Chennai
LN392193,Applicant Patel,35,Male,100567,467000.0,Gold Loan,Self-Employed,691,1.0,240,10.58,ICICI Bank,2021-02-05,Rejected,NA,chennai
LN260769,Applicant Sharma,-1,Female,65993,176000.0,HOME LOAN,Self Employed,586,1.0,36,13.99,HDFC Bank,06-02-2021,Pending,NA,Kolkata
LN792140,Applicant Singh,62,Male,37973,273000.0,Gold Loan,Freelancer,581,,180,9.32,Kotak Mahindra,06/02/2021,Rejected,NA,Mumbai
LN547962,Applicant Sharma,28,Male,360852,1851000.0,Gold Loan,Government Employee,691,0.0,24,12.4,Punjab National Bank,2021-02-06,Rejected,NA,chennai
LN308722,Applicant Singh,51,Male,216535,1966000.0,Home loan,SALARIED,569,4.0,12,10.39,Punjab National Bank,06-02-2021,Rejected,NA,Delhi
LN725312,Applicant Reddy,30,male,74298,686000.0,Loan Against Property,Salaried,688,4.0,12,22.67,HDFC Bank,07/02/2021,Rejected,NA,delhi
LN853147,Applicant Singh,41,Male,55291,294000.0,Gold Loan,freelancer,392,0.0,180,15.11,SBI,2021-02-07,Rejected,NA,Kolkata
LN454367,Applicant Kumar,37,Female,30671,267000.0,Car Loan,freelancer,380,4.0,240,21.07,Axis Bank,07-02-2021,Rejected,NA,Chennai
LN707998,Applicant Sharma,25,F,466328,2139000.0,Two Wheeler Loan,salaried,472,4.0,36,17.21,Yes Bank,08/02/2021,Rejected,NA,mumbai
LN673849,Applicant Sharma,33,Male,38942,361000.0,Two Wheeler Loan,SALARIED,605,0.0,120,17.38,Canara Bank,2021-02-08,Approved,No,Jaipur
LN970006,Applicant Verma,41,Female,138653,300000.0,Business Loan,,867,1.0,24,,SBI,08-02-2021,Approved,No,delhi
LN484110,Applicant Sharma,64,Male,28389,100000.0,HOME LOAN,SALARIED,674,3.0,180,7.71,IDFC First Bank,08/02/2021,Rejected,NA,mumbai
LN318814,Applicant Mehta,32,Male,25808,115000.0,Car Loan,SALARIED,856,0.0,36,12.1,Bank of Baroda,2021-02-09,Approved,No,pune
LN777787,Applicant Verma,45,Male,361954,3522000.0,Home loan,self-employed,576,4.0,60,8.47,Kotak Mahindra,09-02-2021,Approved,Yes,Bengaluru
LN983919,Applicant Reddy,48,male,63756,170000.0,Home Loan,Homemaker,887,4.0,120,12.07,Canara Bank,09/02/2021,Approved,No,Jaipur
LN620283,Applicant Kumar,22,Male,20393,79000.0,car loan,self-employed,778,3.0,240,17.7,HDFC Bank,2021-02-09,Approved,No,Lucknow
LN367341,Applicant Singh,41,Female,57598,322000.0,Car Loan,Business Owner,749,3.0,12,19.2,SBI,10-02-2021,Approved,No,Chennai
LN545957,Applicant Gupta,61,Male,42182,88000.0,Gold Loan,,304,3.0,60,17.6,IndusInd Bank,10/02/2021,Approved,No,Kolkata
LN882218,Applicant Yadav,42,male,18099,174000.0,Home loan,Self-Employed,554,0.0,12,16.65,Axis Bank,2021-02-10,Approved,No,DELHI
LN789197,Applicant Joshi,22,Female,56123,427000.0,Personal Loan,Self Employed,835,,24,8.84,IDFC First Bank,11-02-2021,Approved,No,Bengaluru
LN474547,Applicant Yadav,50,Male,70600,777000.0,car loan,Government Employee,826,3.0,48,9.62,Axis Bank,11/02/2021,Approved,No,Delhi
LN925251,Applicant Singh,21,M,16276,38000.0,Home Loan,SALARIED,476,2.0,36,8.18,HDFC Bank,2021-02-11,Rejected,NA,Bangalore
LN774416,Applicant Mehta,33,Male,63187,298000.0,Gold Loan,salaried,736,1.0,60,,IDFC First Bank,11-02-2021,Rejected,NA,New Delhi
LN337071,Applicant Joshi,23,Male,135350,1260000.0,HOME LOAN,SALARIED,633,3.0,84,12.84,HDFC Bank,12/02/2021,Rejected,NA,chennai
LN195685,Applicant Patel,40,Female,18766,164000.0,Car Loan,Retired,675,4.0,12,14.14,Kotak Mahindra,2021-02-12,Rejected,NA,pune
LN268391,Applicant Yadav,25,Male,123056,545000.0,Home Loan,SALARIED,644,0.0,240,17.8,HDFC Bank,12-02-2021,Rejected,NA,Chennai
LN165276,Applicant Verma,22,Female,19846,158000.0,Two Wheeler Loan,Homemaker,847,4.0,24,23.49,Punjab National Bank,13/02/2021,Approved,No,pune
LN707148,Applicant Singh,46,Male,23662,235000.0,Two Wheeler Loan,salaried,563,4.0,180,17.65,IDFC First Bank,2021-02-13,Approved,No,DELHI
LN580505,Applicant Patel,49,Male,41653,97000.0,Loan Against Property,Salaried,653,0.0,240,9.44,Bank of Baroda,13-02-2021,Approved,No,Bangalore
LN171651,Applicant Patel,38,Male,36638,336000.0,Medical Emergency Loan,Govt Employee,729,1.0,12,22.39,HDFC Bank,13/02/2021,Approved,No,Bengaluru
LN140495,Applicant Kumar,29,male,19188,87000.0,Education Loan,,632,4.0,24,,Federal Bank,2021-02-14,Approved,No,delhi
LN943376,Applicant Patel,42,Male,29098,334000.0,HOME LOAN,Salaried,612,1.0,36,,Canara Bank,14-02-2021,Rejected,NA,Hyderabad
LN475555,Applicant Kumar,48,Male,151354,1117000.0,car loan,Freelancer,641,0.0,240,19.84,IndusInd Bank,14/02/2021,Approved,No,DELHI
LN951119,Applicant Sharma,32,male,55537,130000.0,Two Wheeler Loan,Self Employed,754,3.0,36,,Yes Bank,2021-02-15,Approved,No,DELHI
LN856321,Applicant Joshi,57,Male,15638,94000.0,HOME LOAN,Retired,342,4.0,84,16.12,ICICI Bank,15-02-2021,Rejected,NA,pune
LN257651,Applicant Verma,38,Female,16484,192000.0,Car Loan,self-employed,435,4.0,240,11.27,Axis Bank,15/02/2021,Approved,No,Delhi
LN434807,Applicant Joshi,54,male,51389,478000.0,Business Loan,Retired,597,,120,19.09,Bank of Baroda,2021-02-15,Pending,NA,New Delhi
LN604684,Applicant Yadav,62,Female,16122,81000.0,Loan Against Property,Homemaker,728,0.0,84,23.66,IDFC First Bank,16-02-2021,Approved,No,Chennai
LN864610,Applicant Kumar,62,Female,217103,1683000.0,Loan Against Property,,648,,24,14.55,SBI,16/02/2021,Approved,No,New Delhi
LN717883,Applicant Sharma,23,Male,16066,128000.0,HOME LOAN,Business Owner,737,0.0,84,23.97,Axis Bank,2021-02-16,Approved,No,pune
LN930877,Applicant Sharma,25,Male,137775,308000.0,Education Loan,Business Owner,677,2.0,12,11.66,SBI,17-02-2021,Approved,No,Bengaluru
LN835516,Applicant Verma,43,Male,55032,208000.0,Personal Loan,Self-Employed,588,2.0,120,9.49,HDFC Bank,17/02/2021,Approved,No,Delhi
LN534836,Applicant Reddy,33,Male,36471,274000.0,Personal Loan,self-employed,693,0.0,84,23.98,IndusInd Bank,2021-02-17,Approved,No,Lucknow
LN990665,Applicant Verma,44,Male,282747,1704000.0,Home Loan,Freelancer,569,3.0,180,13.71,HDFC Bank,17-02-2021,Rejected,NA,mumbai
LN254074,Applicant Mehta,48,male,26080,102000.0,Two Wheeler Loan,self-employed,896,2.0,24,21.68,Federal Bank,18/02/2021,Approved,No,Pune
LN168479,Applicant Sharma,37,male,57856,563000.0,Medical Emergency Loan,Business Owner,691,4.0,12,7.99,ICICI Bank,2021-02-18,Rejected,NA,Lucknow
LN329681,Applicant Verma,26,Male,71846,495000.0,personal loan,Homemaker,616,3.0,240,17.86,Federal Bank,18-02-2021,Approved,No,chennai
LN223736,Applicant Sharma,47,Male,47327,241000.0,Car Loan,SALARIED,658,0.0,240,7.55,IDFC First Bank,19/02/2021,Approved,No,chennai
LN692765,Applicant Gupta,49,Male,21694,78000.0,Education Loan,freelancer,794,2.0,120,15.82,Punjab National Bank,2021-02-19,Rejected,NA,Pune
LN444512,Applicant Yadav,32,Male,407090,3302000.0,Business Loan,Government Employee,673,,12,19.65,IDFC First Bank,19-02-2021,Approved,No,Mumbai
LN442806,Applicant Kumar,55,Female,352944,3057000.0,Home loan,salaried,632,4.0,24,17.75,SBI,19/02/2021,Pending,NA,Chennai
